name,hd,ra,dec,vmag,class
SAO 256441,,115.407796,-74.617922, 9.3,STAR
SAO 256443,,115.498587,-74.59695, 9.3,STAR
SAO 257475,,258.726412,-74.572622, 9.0,STAR
SAO 257434,,252.709396,-74.539306, 9.0,STAR
SAO 257547,,269.9075,-74.526806, 9.2,STAR
SAO 256721,,157.462883,-74.490244, 9.4,STAR
SAO 257631,,282.770042,-74.472322, 9.2,STAR
SAO 257617,,280.573362,-74.465425, 9.1,STAR
SAO 257700,,292.987583,-74.428217, 9.2,STAR
SAO 256273,,92.148296,-74.393944, 8.7,STAR
SAO 257653,,286.53315,-74.365133, 9.3,STAR
SAO 257297,,234.140317,-74.355764, 9.9,STAR
SAO 257627,,281.846554,-74.346064, 9.0,STAR
SAO 257912,,320.42415,-74.337136, 9.2,STAR
SAO 256097,,67.174196,-74.324986, 9.1,STAR
SAO 256105,,68.404246,-74.225497, 8.6,STAR
SAO 256466,,120.3217,-74.208869, 8.5,STAR
SAO 255882,,36.056667,-74.171603, 8.9,STAR
SAO 255888,,36.778071,-74.075864, 9.1,STAR
SAO 255911,,39.887437,-74.022608, 9.0,STAR
SAO 257952,,325.896729,-74.006883, 9.3,STAR
SAO 256251,,88.746458,-74.005561, 9.3,STAR
SAO 255811,,26.158533,-73.988256,10,STAR
SAO 256682,,151.600483,-73.968706, 9.1,STAR
SAO 256066,,62.094237,-73.960478, 8.0,STAR
SAO 256561,,132.818588,-73.959108, 8.8,STAR
SAO 257177,,219.777667,-73.947569, 8.7,STAR
SAO 256296,,95.038817,-73.943714, 9.8,STAR
SAO 257723,,296.184033,-73.933625, 9.3,STAR
SAO 256509,,125.878537,-73.897344, 9.2,STAR
SAO 255832,,28.907817,-73.844453, 9.4,STAR
SAO 256601,,139.429621,-73.835153, 9.0,STAR
SAO 256492,,124.342617,-73.827033, 9.0,STAR
SAO 257771,,302.032583,-73.811458, 9.5,STAR
SAO 256622,,141.618192,-73.749958, 8.2,STAR
SAO 255877,,35.176338,-73.741347, 9.0,STAR
SAO 256411,,111.324804,-73.737736, 9.1,STAR
SAO 257680,,290.617508,-73.589869, 8.9,STAR
SAO 257784,,303.730092,-73.527294, 9.5,STAR
SAO 256455,,117.646229,-73.465492, 9.6,STAR
SAO 257405,,247.624333,-73.450253, 8.9,STAR
SAO 257914,,320.500688,-73.367269, 8.9,STAR
SAO 258206,,0.279217,-73.360967, 9.2,STAR
SAO 257650,,286.026029,-73.311722, 8.7,STAR
SAO 257695,,292.597108,-73.294872, 9.3,STAR
SAO 256062,,61.516021,-73.274217, 9.1,STAR
SAO 257031,115672,200.278304,-73.269753, 7.9,STAR
SAO 258030,,335.906467,-73.263972, 9.3,STAR
SAO 255642,661,2.661029,-73.224458, 6.8,STAR
SAO 255830,,28.491433,-73.174311, 9.1,STAR
SAO 257769,,301.860192,-73.161539, 9.0,STAR
SAO 255807,,25.772283,-73.1373, 9.2,STAR
SAO 257075,,205.255279,-73.008686, 9.5,STAR
SAO 255875,,35.022196,-72.829153, 8.7,STAR
SAO 257418,,249.677442,-72.823119, 9.0,STAR
SAO 258095,,345.126567,-72.814708, 9.2,STAR
SAO 256312,,97.803933,-72.781297, 9.2,STAR
SAO 255849,,31.404817,-72.755261, 8.7,STAR
SAO 257515,,264.531954,-72.729653, 8.7,STAR
SAO 256480,,122.314437,-72.646583, 9.2,STAR
SAO 256439,,115.467187,-72.608292, 9.5,STAR
SAO 256035,,57.381862,-72.585425, 9.3,STAR
SAO 256562,,132.888679,-72.585325, 9.2,STAR
SAO 256769,,163.308029,-72.565364, 9.2,STAR
SAO 256467,,120.425217,-72.483728, 9.5,STAR
SAO 257425,,250.652675,-72.46605, 9.0,STAR
SAO 256072,,63.148454,-72.400097, 9.1,STAR
SAO 258062,,340.920658,-72.385561, 9.0,STAR
SAO 257404,,247.410025,-72.384669, 9.2,STAR
SAO 257157,,216.859204,-72.379811, 8.9,STAR
SAO 257848,,311.431975,-72.366817, 8.9,STAR
SAO 256040,,58.131,-72.318275, 9.1,STAR
SAO 255805,,25.478979,-72.313339, 9.3,STAR
SAO 256069,,62.9128,-72.287975, 9.3,STAR
SAO 258056,,339.86795,-72.235772, 9.2,STAR
SAO 257875,,315.370321,-72.172122, 9.4,STAR
SAO 257083,,205.832875,-72.083442, 8.9,STAR
SAO 256165,,77.55145,-72.076467, 9.2,STAR
SAO 257497,,261.608683,-72.070692, 9.3,STAR
SAO 257137,,214.782458,-71.962464, 9.1,STAR
SAO 256049,,59.428962,-71.903972, 9.1,STAR
SAO 257401,,247.254242,-71.870586, 9.1,STAR
SAO 258107,,347.225408,-71.779481, 9.3,STAR
SAO 256084,,65.551396,-71.752044, 8.8,STAR
SAO 257503,,262.337,-71.743128, 9.2,STAR
SAO 255800,,24.959146,-71.717936, 9.2,STAR
SAO 257439,,253.375812,-71.533956, 9.2,STAR
SAO 256500,,125.018946,-71.496719, 8.6,STAR
SAO 256058,,60.987558,-71.399828, 8.5,STAR
SAO 257581,,274.736083,-71.347953, 9.2,STAR
SAO 257888,,317.045992,-71.309778, 9.3,STAR
SAO 256037,,57.718033,-71.291328, 9.2,STAR
SAO 257744,,298.110813,-71.271889, 8.7,STAR
SAO 255938,,44.377167,-71.266128, 9.1,STAR
SAO 256309,,97.656537,-71.263192, 9.1,STAR
SAO 257760,,300.348221,-71.193486, 8.9,STAR
SAO 257638,,283.486537,-71.187908, 9.1,STAR
SAO 257064,,203.395762,-71.176825, 9.2,STAR
SAO 257481,,259.450454,-71.164706, 9.2,STAR
SAO 256931,,185.329654,-71.128922, 9.2,STAR
SAO 255976,,49.582917,-71.125586, 9.4,STAR
SAO 257801,,306.008246,-71.079822, 8.0,STAR
SAO 257713,,294.798275,-71.072508, 9.0,STAR
SAO 257827,,309.106296,-71.067922, 9.1,STAR
SAO 257589,,275.932142,-71.052175, 9.2,STAR
SAO 257706,,293.830154,-70.999372, 9.2,STAR
SAO 255948,,45.8307,-70.965831, 9.3,STAR
SAO 256013,,55.319125,-70.931747, 9.1,STAR
SAO 256873,,176.617225,-70.910689, 9.0,STAR
SAO 257110,,211.096113,-70.795325, 8.9,STAR
SAO 255983,,50.740329,-70.792217, 9.2,STAR
SAO 256774,,164.346729,-70.766381, 8.7,STAR
SAO 255941,,44.560496,-70.760669, 9.4,STAR
SAO 257462,,256.783325,-70.670314, 9.0,STAR
SAO 257494,,261.130704,-70.634203, 8.9,STAR
SAO 256473,,121.560163,-70.539608, 9.0,STAR
SAO 258064,,341.015542,-70.527028, 8.9,STAR
SAO 256901,,181.369563,-70.392556, 9.1,STAR
SAO 256070,,63.016787,-70.388789, 9.0,STAR
SAO 257950,,325.443362,-70.373414, 9.1,STAR
SAO 257768,,301.621421,-70.347761, 9.3,STAR
SAO 257941,,324.198875,-70.334392, 9.2,STAR
SAO 257931,,322.748067,-70.333869, 9.0,STAR
SAO 255828,,28.401754,-70.302175, 9.7,STAR
SAO 257565,,272.152946,-70.270864, 9.2,STAR
SAO 252121,,195.138733,-70.209933, 8.8,STAR
SAO 257804,,306.223308,-70.196106, 9.2,STAR
SAO 258027,,335.48955,-70.181775, 9.1,STAR
SAO 255987,,51.261383,-70.120025, 9.2,STAR
SAO 257831,,309.282692,-70.107733, 9.1,STAR
SAO 256322,48733,99.553708,-70.096292, 9.1,STAR
SAO 257862,,313.256696,-70.089133, 9.0,STAR
SAO 253062,134453,228.579717,-70.079453,,STAR
SAO 257866,,314.249762,-70.075419, 9.3,STAR
SAO 257649,,285.554683,-70.057417, 8.8,STAR
SAO 257799,,305.814037,-70.056469, 9.9,STAR
SAO 249806,,109.004742,-70.035203, 9.3,STAR
SAO 257940,,324.081287,-70.006447, 9.3,STAR
SAO 254165,,273.218021,-69.922294, 8.9,STAR
SAO 251349,,169.475421,-69.899014, 8.5,STAR
SAO 251461,,173.577912,-69.864642, 8.8,STAR
SAO 254468,,287.086738,-69.80655, 9.1,STAR
SAO 258058,,340.430971,-69.755347, 9.3,STAR
SAO 254990,203133,321.069417,-69.734269,,STAR
SAO 251648,,179.0835,-69.699908, 8.8,STAR
SAO 253838,,258.730825,-69.653894, 8.4,STAR
SAO 254055,,268.121167,-69.547822, 9.1,STAR
SAO 255145,,331.904675,-69.544506, 9.2,STAR
SAO 251716,104811,181.0373,-69.522244, 6.9,STAR
SAO 254220,,275.789858,-69.507856, 9.0,STAR
SAO 254417,,284.502146,-69.477136, 8.8,STAR
SAO 250222,,126.201446,-69.416617, 9.9,STAR
SAO 253960,,263.590504,-69.40355, 8.6,STAR
SAO 254876,,312.538646,-69.384181, 9.1,STAR
SAO 254184,,273.830463,-69.378197, 9.5,STAR
SAO 254288,,278.843958,-69.316097, 9.2,STAR
SAO 254008,,266.056475,-69.286008, 8.8,STAR
SAO 251937,,187.678129,-69.215428, 8.7,STAR
SAO 251608,,177.677004,-69.185728, 8.8,STAR
SAO 248719,,45.793496,-69.140031, 9.1,STAR
SAO 249329,38268,84.679346,-69.100694, 6.3,STAR
SAO 254600,183555,293.867487,-69.094861, 9.2,STAR
SAO 254893,,313.506583,-69.071508, 9.2,STAR
SAO 255240,,337.889696,-69.009367, 9.2,STAR
SAO 254211,,275.346196,-68.934136, 9.0,STAR
SAO 248871,,55.555146,-68.878867, 9.5,STAR
SAO 248345,,18.937358,-68.874531, 7.3,STAR
SAO 253823,,258.175167,-68.860903, 8.9,STAR
SAO 250360,,132.953362,-68.783842,10,STAR
SAO 255604,,359.192483,-68.775269, 9.4,STAR
SAO 254138,,271.880533,-68.631403, 9.3,STAR
SAO 250008,,118.4851,-68.616733, 9.1,STAR
SAO 254424,,285.055563,-68.570836, 9.0,STAR
SAO 254362,,281.704604,-68.56835, 9.4,STAR
SAO 249439,,90.934142,-68.527653, 9.0,STAR
SAO 254241,,276.65855,-68.468517, 9.2,STAR
SAO 249737,,106.394446,-68.3938, 9.0,STAR
SAO 254309,,279.536683,-68.373714, 9.2,STAR
SAO 248882,,56.351229,-68.363739, 9.7,STAR
SAO 254224,,275.945,-68.345078, 8.6,STAR
SAO 254006,,265.941946,-68.330106, 9.2,STAR
SAO 254778,,305.559283,-68.2739, 9.1,STAR
SAO 251936,,187.670358,-68.206747, 8.9,STAR
SAO 248817,,52.10705,-68.185936, 9.3,STAR
SAO 248703,,44.682871,-68.144478, 9.1,STAR
SAO 248506,,32.480425,-68.083275, 9.5,STAR
SAO 248259,,12.245408,-68.021561, 9.2,STAR
SAO 254148,,272.357987,-68.019481, 9.0,STAR
SAO 253832,,258.628071,-68.005564, 9.0,STAR
SAO 254762,,304.277429,-67.941928, 9.5,STAR
SAO 249678,,103.722487,-67.899367, 8.9,STAR
SAO 248745,,47.255321,-67.800861, 9.3,STAR
SAO 255047,,324.9735,-67.719356, 9.3,STAR
SAO 255021,,323.290029,-67.662925, 8.6,STAR
SAO 255320,,342.083108,-67.427511, 8.9,STAR
SAO 249534,,95.792208,-67.423761, 9.1,STAR
SAO 249743,,106.740721,-67.294681, 9.0,STAR
SAO 249657,,102.465996,-67.274947, 9.2,STAR
SAO 255349,,343.626375,-67.266239, 9.2,STAR
SAO 255089,,327.676688,-67.254986, 9.3,STAR
SAO 254559,,291.200238,-67.226861, 9.1,STAR
SAO 248222,,9.053396,-67.198233, 9.1,STAR
SAO 249059,,68.508912,-67.183189, 8.9,STAR
